result/cdn2_allcolo.ns703.oracleGeneral.zst S3FIFO cache size      225, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst S3FIFO cache size      450, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst S3FIFO cache size      901, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst S3FIFO cache size     1802, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst S3FIFO-d cache size        6, 7557016 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns703.oracleGeneral.zst S3FIFO-d cache size       22, 7557016 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_allcolo.ns703.oracleGeneral.zst S3FIFO-d cache size       67, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst S3FIFO-d cache size      225, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst S3FIFO-d cache size      450, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst S3FIFO-d cache size      901, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst S3FIFO-d cache size     1802, 7557016 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns703.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size        6, 7557016 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns703.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       22, 7557016 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns703.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       67, 7557016 req, miss ratio 1.0000, byte miss ratio 1.0000
