cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size   506672, 2439185 req, miss ratio 0.2597, byte miss ratio 0.2597
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size      633, 2439185 req, miss ratio 0.2652, byte miss ratio 0.2652
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size     1900, 2439185 req, miss ratio 0.2605, byte miss ratio 0.2605
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size     6333, 2439185 req, miss ratio 0.2600, byte miss ratio 0.2600
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size    19000, 2439185 req, miss ratio 0.2599, byte miss ratio 0.2599
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size    63334, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size   126668, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size   253336, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.7000-0.9000 cache size   506672, 2439185 req, miss ratio 0.2597, byte miss ratio 0.2597
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size      633, 2439185 req, miss ratio 0.2640, byte miss ratio 0.2640
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size     1900, 2439185 req, miss ratio 0.2604, byte miss ratio 0.2604
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size     6333, 2439185 req, miss ratio 0.2599, byte miss ratio 0.2599
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size    19000, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
cdn2_nyc.ns13.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size    63334, 2439185 req, miss ratio 0.2598, byte miss ratio 0.2598
